Electoral Division,CENTROID_X,CENTROID_Y,Population
77116 - KINARD,450997,602260,345
77154 - St. FINAN'S,438252,568777,164
77132 - MARHIN,436877,603334,260
77137 - MINARD,454093,601477,368
77155 - STRADBALLY,457549,611343,239
77166 - VENTRY,435816,599548,396
77006 - ARDEA,479478,561258,178
77012 - BALLINVOHER,460975,603857,560
77016 - BALLYDUFF,453471,608350,113
77065 - DINGLE,444650,601227,1623
77108 - KILMALKEDAR,440112,606427,481
77120 - LACK,470054,603253,271
77026 - BANAWN,494186,563133,226
77038 - CAPPAGH,495630,571917,411
77042 - CASTLECOVE,464077,565091,309
77061 - DAWROS,485820,564866,576
77070 - DROMORE,481476,570712,279
77079 - GLANLEE,506963,571107,174
77080 - GLANLOUGH,503296,570237,136
77081 - GLANMORE,478085,556162,232
77084 - GREENANE,484449,574139,241
77089 - KENMARE,491572,571751,3127
77097 - KILGARVAN,500453,576073,667
77130 - LOUGHBRIN,477799,576258,146
77149 - REEN,487386,574666,154
77153 - SNEEM,470538,570622,785
77156 - TAHILLA,475560,568233,178
77002 - AGHADOE,492053,594381,851
77003 - AGLISH,489574,596832,434
77040 - CARAGH,471309,592421,948
77054 - COOM,509709,597700,1982
77058 - CURRAGHMORE,481074,584756,322
77068 - DROMIN,482731,597405,794
77022 - BALLYNACOURTY,457538,602873,284
77048 - CLOGHANE,448949,609678,232
47223 - KINURE,569690,551996,356
47234 - LAHERNE,557885,545487,576
47236 - LEIGHMONEY,559095,554875,782
47097 - CLONDROHID,528300,579406,873
47182 - KILBERRIHERT,537710,580447,713
47296 - SLIEVEREAGH,517077,578853,851
47315 - ULLANES,524094,578055,597
47105 - CLOYNE,590877,568969,4374
47115 - CORKBEG,584586,562731,2601
47196 - KILDORRERY,569952,612999,744
47198 - KILGULLANE,577260,612965,152
47216 - KILPHELAN,579107,608626,516
47239 - LISCLEARY,569496,561627,4641
47269 - NOHAVAL,572050,552214,316
47317 - WARRENSCOURT,539674,565186,773
47012 - ARDSKEAGH,556979,618885,429
47124 - DANGAN,597086,581697,254
47143 - DUNGOURNEY,593053,579978,755
47156 - GARRYVOE,600567,569496,619
47114 - COOMLOGANE,525510,587693,905
47248 - MARSHALSTOWN,575144,612594,387
47258 - MITCHELSTOWN,584317,612030,5135
47303 - TEMPLEBREEDY,578361,560340,3778
47306 - TEMPLEMICHAEL,559751,559115,741
47022 - BALLYCLOGH,549980,599849,700
47037 - BALLYNAMONA,557285,590893,990
47060 - BUTTEVANT,554205,608272,1744
47173 - IGHTERMURRAGH,597991,571374,2757
47175 - INCH,589070,562562,525
47307 - TEMPLEMOLAGA,574124,615704,307
47003 - AGHADOWN NORTH,507066,534257,288
47004 - AGHADOWN SOUTH,503519,531368,574
47006 - AGHINAGH,539977,574213,478
47007 - AGLISH,548479,570674,1453
47063 - CAHERDUGGAN,556547,604409,619
47069 - CARRIG,560219,600635,244
47091 - CHURCHTOWN,550320,613015,1165
47240 - LISGOOLD,582279,579829,996
47253 - MIDLETON RURAL,588628,573433,8922
47057 - BREDAGH,513197,543426,582
47061 - CAHERAGH,506213,542755,311
47068 - CAPE CLEAR,500815,525177,342
47082 - CASTLEHAVEN NORTH,516698,532473,806
47083 - CASTLEHAVEN SOUTH,512945,528725,498
47048 - BEALANAGEARY,512962,568133,534
47066 - CANDROMA,523493,571786,329
47093 - CLENOR,562153,603164,340
47129 - DONERAILE,559619,608265,1403
47140 - DROMORE,551199,591352,2706
47259 - MOGEELY,596756,577370,691
47284 - ROSTELLAN,587603,566677,1243
47073 - CARRIGBAUN,517090,542694,344
47094 - CLOGHDONNELL,507757,537939,354
47265 - MYROSS,520554,533010,747
47293 - SKIBBEREEN RURAL,510750,532762,1300
47313 - TULLAGH,507001,527287,738
47067 - CANNAWAY,542134,570750,626
47092 - CLEANRATH,518711,569356,225
47174 - IMPHRICK,556153,613671,344
47206 - KILMACLENINE,550301,604059,725
47302 - TEMPLEBODAN,585799,584829,626
47308 - TEMPLENACARRIGA,587741,580605,596
47104 - CLOONKEEN,523074,541560,348
47133 - DRINAGH,521598,545809,360
47101 - CLONMOYLE,544671,577069,553
47127 - DERRYFINEEN,519755,572791,243
47217 - KILSHANNIG,546467,592849,1081
47238 - LISCARROLL,545737,612509,593
47245 - MALLOW RURAL,555816,599173,4615
47062 - CAHERBARNAGH,520167,589225,514
47118 - CRINNALOO,536666,590024,207
47138 - DROMDALEAGUE NORTH,511953,551119,295
47167 - GORTNATUBBRID,515777,574649,451
47169 - GOWLANE,549188,583757,1182
47242 - MACLONEIGH,534014,571319,870
47257 - MILLTOWN,549743,619934,374
47260 - MONANIMY,565355,597409,812
47121 - CULLEN,521709,596535,423
47125 - DERRAGH,524973,597023,215
47137 - DROMDALEAGUE SOUTH,510620,547801,630
47154 - GARRANES,516452,547209,351
77035 - CAHER,448417,576859,1823
47172 - GREENVILLE,535689,564197,281
47176 - INCHIGEELAGH,524962,567782,538
47273 - RAHAN,561061,595224,884
47090 - RATHLUIRC,553079,623008,4253
47130 - DOONASLEEN,522460,599851,474
47136 - DRISHANE,529499,589000,1955
47165 - GORTNASCREENY,505804,546787,502
47197 - KILFAUGHNABEG,523355,535630,538
47193 - KILCULLEN,545539,582612,843
47214 - KILNAMARTERY,527972,572276,673
47024 - BALLYDEHOB,496512,533242,846
47288 - SHANBALLYMORE,566977,608178,630
47292 - SKAHANAGH,563465,612508,162
47297 - SPRINGFORT,553659,617859,617
47180 - KEALE,528486,595024,349
47191 - KILCORNEY,533673,589584,337
47228 - KNOCKNAGREE,518123,596802,598
47276 - RATHCOOL,532074,593510,554
47204 - KILLEENLEAGH,510086,541181,365
47232 - KNOCKSKAGH,521022,539136,544
77036 - CAHERDANIEL,455995,560022,313
77037 - CANUIG,456486,572370,212
77045 - CASTLEQUIN,448406,583026,599
47244 - MAGOURNEY,546441,574758,1049
47249 - MASHANAGLASS,537641,569646,447
47119 - CROOKHAVEN,476568,526107,225
47141 - DUNBEACON,491206,537012,173
47144 - DUNMANUS,487572,533697,238
217037 - BURNCOURT,593991,618874,451
217038 - CAHER,606850,623013,1134
217094 - KILCOOLY,630455,656786,312
217114 - KILVEMNON,635998,637669,429
217160 - THOMASTOWN,598680,635871,403
217165 - TIPPERARY RURAL,588591,635053,2143
228006 - BALLYNANEASHAGH,657839,610288,309
227048 - GURTEEN,627426,619446,354
227057 - KILMACOMMA,617132,620122,465
227061 - KILRONAN,617675,618123,214
227034 - DUNGARVAN RURAL,624016,592218,1902
217048 - CLOGHEEN,598673,611396,942
227028 - DROMANA,610901,593948,790
217128 - MODESHIL,634947,645965,346
227065 - KNOCKAUNBRANDAUN,625230,610744,210
228003 - BALLYBRICKEN,660020,612414,145
227073 - MOUNTSTUART,617638,589047,89
227081 - RINGVILLE,626790,587882,1365
227083 - SESKINAN,621155,606568,414
227084 - St. MARY'S,622499,618443,685
227002 - ARDMORE,621740,586073,206
227029 - DROMORE,611994,589438,241
227050 - KEEREEN,614377,592254,227
227001 - ANNESTOWN,648807,600558,822
227009 - BALLYLANEEN,638884,602312,263
227070 - MODELLIGO,619558,600972,328
227038 - FEWS,635182,607878,347
227039 - FOX'S CASTLE,634992,601775,457
227091 - WHITECHURCH,615790,594513,205
227052 - KILBARRYMEADEN,646382,603537,391
227058 - KILMACTHOMAS,639420,606691,1367
227066 - KNOCKMAHON,642307,599496,396
227085 - STRADBALLY,635656,597705,808
227011 - BALLYMACART,625191,583207,362
227015 - BOHADOON,625043,599842,301
227019 - CARRIGCASTLE,640005,600129,269
227026 - COMERAGH,631731,605999,435
227040 - GARDENMORRIS,644639,602058,426
227041 - GEORGESTOWN,642846,604497,206
227004 - BALLYDUFF,596952,602681,306
227072 - MOUNTKENNEDY,630393,600396,433
227075 - NEWTOWN,643600,608458,471
227088 - TINNASAGGART,629412,605072,86
227016 - CAPPAGH,618891,596029,361
227020 - CARRIGLEA,619807,592111,533
227024 - CLONEA,629910,596071,2280
227035 - DUNHILL,649065,604004,247
227013 - BALLYNAMULT,616290,605000,169
227014 - BALLYSAGGARTMORE,600485,603580,337
227006 - BALLYHANE,613290,598495,474
227008 - BALLYIN,605018,604426,508
227021 - CASTLERICHARD,598422,597014,492
227044 - GORTNAPEAKY,595120,602167,203
227053 - KILCOCKAN,608189,588029,214
227062 - KILWATERMOY EAST,605605,591964,122
227025 - COLLIGAN,622811,597280,703
227027 - COUMARAGLIN,624930,604598,247
227031 - DRUMROE,608566,595804,273
227067 - LISMORE RURAL,604637,596263,1237
227089 - LISMORE URBAN,604775,598453,666
227068 - MOCOLLOP,592359,601912,244
227063 - KILWATERMOY WEST,602993,590058,203
227069 - MODELLIGO,615452,600383,294
227017 - CAPPOQUIN,610555,603217,1253
227086 - TALLOW,600309,591293,1262
227012 - BALLYNAKILL,663350,607429,420
217025 - BALLYSHEEHAN,612181,646575,499
217045 - CASHEL RURAL,606859,640276,2971
217060 - COOLAGARRANROE,590117,618517,565
217066 - DERRYGRATH,609730,621817,707
217093 - KILCOMMON,602795,624150,2117
217134 - MULLINAHONE,634239,640546,859
217137 - NEW BIRMINGHAM,623741,650743,432
217144 - POYNTSTOWN,624841,653642,176
228004 - BALLYMACLODE,664779,610841,1247
228005 - BALLYNAKILL,663144,611417,2125
228007 - BALLYTRUCKLE,660483,608896,5938
228008 - BILBERRY,659463,613028,802
228009 - CENTRE A,660440,612616,791
228010 - CENTRE B,660512,612307,236
228011 - CLEABOY,658926,612425,2556
228012 - CUSTOM HOUSE A,660782,612200,353
228013 - CUSTOM HOUSE B,660861,612542,269
228014 - FARRANSHONEEN,663536,609898,5607
217049 - CLOGHER,598907,654638,232
217054 - CLONEEN,627287,634931,510
217095 - KILCORAN,596995,620720,531
217130 - MORTLESTOWN,608695,626885,1777
217014 - BALLYCARRON,602198,633005,337
217017 - BALLYGRIFFIN,602248,642450,258
217018 - BALLYKISTEEN,585517,639926,761
228015 - FERRYBANK,660866,612942,858
228016 - GRACEDIEU,657329,612861,1662
228038 - GRANGE NORTH,660984,610754,883
228017 - GRANGE SOUTH,662437,609275,2722
228018 - GRANGE UPPER,662155,610816,2412
228019 - KILBARRY,659252,609189,1137
228020 - KINGSMEADOW,660049,611337,1093
228021 - LARCHVILLE,659080,611038,944
228022 - LISDUGGAN,659263,611520,993
228023 - MILITARY ROAD,659587,612473,763
217057 - CLONOULTY EAST,604125,651332,523
217058 - CLONOULTY WEST,598228,650962,669
217138 - NEWCASTLE,614025,610570,727
217167 - TUBBRID,601900,620994,607
217026 - BANSHA,595750,632221,845
217034 - BRUIS,584268,632446,329
228024 - MORRISSON'S AVENUE EAST,659678,612133,510
228025 - MORRISSON'S AVENUE WEST,659416,612060,300
228026 - MORRISSON'S ROAD,659958,612143,490
228027 - MOUNT SION,660508,611940,849
228028 - NEWPORT'S SQUARE,660134,612179,543
228029 - NEWTOWN,661412,611275,1064
228030 - PARK,661389,611881,1520
228031 - POLEBERRY,660730,611350,1357
228032 - ROANMORE,659931,611662,812
228033 - SHORTCOURSE,660310,612260,301
228034 - SLIEVEKEALE,659673,611793,593
228035 - THE GLEN,660156,612696,742
228036 - TICOR NORTH,658838,611731,2152
228037 - TICOR SOUTH,658575,611179,381
217059 - COLMAN,619085,631712,440
217061 - COOLEAGH,621996,642538,549
217168 - TULLAGHMELAN,612429,618273,1068
217169 - TULLAGHORTON,604339,612889,270
217039 - CAPPAGH,588182,649044,875
217053 - CLONBEG,586830,628155,734
227032 - DUNGARVAN No. 1 URBAN,625328,593484,4787
227033 - DUNGARVAN No. 2 URBAN,626802,593992,3440
227005 - BALLYDURN,636333,610680,186
217069 - DRANGAN,628385,641734,671
217175 - FETHARD,620694,634966,873
217077 - GAILE,608823,650801,746
217083 - GRAIGUE,614457,632178,146
217015 - BALLYCLERAHAN,613301,626680,1082
217055 - CLONMEL RURAL,620950,625045,5652
217063 - CULLEN,580958,639287,289
217064 - CURRAHEEN,592356,655890,288
217068 - DONOHILL,592435,648793,636
227018 - CARRICKBEG RURAL,638275,620577,450
227023 - CLONEA,639477,613681,430
227037 - FENOAGH,643287,619260,214
217085 - GRAYSTOWN,616910,646772,425
217102 - KILLEENASTEENA,606991,634828,692
217103 - KILLENAULE,621490,648087,1150
217143 - PEPPARDSTOWN,621855,636877,1393
217089 - INISHLOUNAGHT,616053,624462,3348
217091 - KILCASH,630595,628522,808
217071 - DRUMWOOD,586410,644586,578
217072 - EMLY,576835,633902,664
227042 - GLEN,633524,620009,423
227060 - KILMEADAN,645570,613250,746
217110 - KILPATRICK,595521,644721,897
217116 - KNOCKGRAFFON,608024,630180,780
217112 - KILSHEELAN,627920,625478,1436
217113 - KILTINAN,624493,631186,313
217079 - GLENGAR,588232,654083,258
217081 - GOLDEN,601553,638269,810
217096 - KILFEAKLE,594137,636607,449
227071 - MOTHEL,638638,617163,462
227077 - PORTLAW,645275,616786,1629
217126 - MAGORBAN,612878,640284,624
217141 - NODSTOWN,608321,646418,567
217142 - OUGHTERLEAGUE,599225,644745,533
217120 - LISRONAGH,619890,628339,883
217004 - ANNER,630597,636555,372
217098 - KILLADRIFFE,600871,628494,545
217106 - KILMUCKLIN,591162,641382,551
227078 - RATHGORMUCK,630237,614374,236
227082 - ROSS,634648,613731,279
217170 - TULLAMAIN,613055,635292,676
217006 - ARDFINNAN,608325,616582,1103
217010 - BALLINGARRY,631285,646240,708
217023 - BALLYPHILIP,627671,649531,448
217035 - BUOLICK,627196,655503,621
217119 - LATTIN,580753,633159,493
217147 - RATHLYNIN,596201,640196,370
217151 - RODUS,575065,636830,250
227010 - BALLYMACARBRY,617881,615218,511
227045 - GRAIGNAGOWER,619277,610862,521
217012 - BALLYBACON,608657,611577,472
217024 - BALLYPOREEN,592402,611434,921
217062 - CROHANE,626512,646128,254
217073 - FARRANRORY,632354,651563,482
217074 - FENNOR,626760,661367,511
217153 - SHRONELL,581880,636595,370
217154 - SOLLOGHODBEG,588505,640382,222
217157 - TEMPLENEIRY,593902,627967,400
228001 - BALLYBEG NORTH,658405,610398,2757
127025 - BALLYNOE WEST,536359,632575,335
127029 - BOOLA,532727,618886,145
127030 - BROADFORD,534591,623713,960
127034 - CAHER,513656,621839,353
127053 - CROAGH,541209,645015,773
127060 - DROMARD,542002,641361,882
217051 - CLOGHPRIOR,583920,688856,300
217052 - CLOHASKIN,600654,699976,230
217075 - FINNOE,588231,692640,201
217108 - KILNANEAVE,594361,670511,451
217109 - KILNARATH,579144,663650,331
127045 - CLEANGLASS,526095,622739,280
127046 - CLONCAGH,538919,633659,296
217118 - LATTERAGH,597945,675091,684
127064 - DUNMOYLAN EAST,526130,643157,441
127065 - DUNMOYLAN WEST,521308,643318,66
217135 - NENAGH RURAL,586652,679550,1870
217084 - GRAIGUE,599055,705207,279
217155 - TEMPLEDERRY,592821,664792,123
217115 - KNIGH,585030,685277,772
217028 - BORRISNAFARNEY,604984,672550,310
217032 - BOURNEY EAST,615440,680670,270
217129 - MONSEA,580959,684151,642
217101 - KILLEA,609032,675961,382
217148 - RATHNAVEOGE,611161,684345,262
217139 - NEWPORT,573129,660980,2949
217013 - BALLYCAHILL,606185,659418,439
217021 - BALLYMURREEN,616823,651179,271
217070 - DROM,609409,670702,1169
217174 - YOUGHALARRA,579631,678964,915
217111 - KILRUSH,610542,663970,499
217033 - BOURNEY WEST,609748,681234,378
217100 - KILLAVINOGE,616046,676628,462
217122 - LONGFORDPASS,622340,661761,320
217152 - ROSCREA,614364,688070,6305
217163 - TIMONEY,618880,684649,365
217133 - MOYNE,619579,666308,552
217031 - BORRISOLEIGH,602402,666464,1215
217076 - FOILNAMAN,592557,660897,333
217121 - LITTLETON,618324,654614,1102
217161 - THURLES RURAL,612726,658972,2314
217171 - TWO-MILE-BORRIS,621150,657720,877
217172 - UPPERCHURCH,597243,661392,299
217125 - LOUGHMORE,612919,667938,632
217131 - MOYALIFF,601483,656296,394
217132 - MOYCARKY,613764,652179,517
217145 - RAHELTY,616643,661846,772
217158 - TEMPLETOUHY,618026,672038,816
217046 - CASHEL URBAN,607693,640480,2412
217176 - CLONMEL EAST URBAN,621128,622787,3963
217080 - GLENKEEN,598869,668354,427
217082 - GORTKELLY,601394,660786,544
217042 - CARRICKBEG URBAN,640525,621212,1496
217164 - TIPPERARY EAST URBAN,589463,635941,2409
217166 - TIPPERARY WEST URBAN,588447,635629,1819
217040 - CARRICK-on-SUIR RURAL,638508,624100,503
217041 - CARRICK-on-SUIR URBAN,640608,622376,4398
217056 - CLONMEL WEST URBAN,619562,622661,5563
217078 - GARRANGIBBON,634994,632379,639
217140 - NEWTOWN,639639,628664,416
217007 - ARDMAYLE,603542,646170,577
217087 - HOLYCROSS,608462,654446,1403
217088 - INCH,605423,662848,395
217107 - KILMURRY,635474,626189,354
217008 - ARDSALLAGH,617503,639643,434
127027 - BALLYVARRA,566028,656484,4288
127035 - CAHERCONLISH EAST,571953,649726,507
127056 - DANGANBEG,532019,628773,411
127061 - DROMCOLLIHER,538440,623527,945
127063 - DROMTRASNA,515152,626757,900
127075 - GLENAGOWER,514978,636463,494
127085 - IVERUSS,534911,654590,303
127087 - KILCORNAN,540643,650367,772
217090 - KILBARRON,582881,693610,604
217123 - LORRHA EAST,594089,703965,296
217124 - LORRHA WEST,589495,705582,310
127036 - CAHERCONLISH WEST,567019,649843,2236
127038 - CAHERELLY,567061,644112,364
127039 - CAPPAMORE,576753,650782,1362
127070 - FEENAGH,541628,626368,333
127074 - GARRYDUFF,522097,632543,270
127088 - KILDIMO,544637,652310,669
127099 - KILSCANNELL,531266,638990,513
217127 - MERTONHALL,593673,690295,172
217146 - RATHCABBAN,597094,708329,304
217149 - REDWOOD,593734,709921,139
127040 - CARRIG,549478,656732,593
127041 - CASTLECONNELL,567152,662648,3332
127044 - CLARINA,549168,652198,1770
127077 - GLENGORT,521017,623763,672
127078 - GLENSHARROLD,521487,639671,416
127095 - KILMEEDY,538045,628307,354
127107 - LISMAKEERY,530459,645715,433
127108 - LOGHILL,520385,649191,673
217150 - RIVERSTOWN,602538,706327,555
217159 - TERRYGLASS,586341,699640,479
217173 - USKANE,593211,695604,250
217001 - ABINGTON,585104,661170,572
127047 - CLONKEEN,570021,656192,973
127059 - DOON WEST,579727,655739,237
127101 - KNOCKADERRY,532721,634685,513
127109 - MAHOONAGH,533361,631325,522
127110 - MOHERNAGH,520218,645335,136
127114 - NANTINAN,536784,646375,730
127118 - PALLASKENRY,541648,655350,1075
217002 - AGHNAMEADLE,601432,674423,300
217005 - ARDCRONY,588833,685993,558
217009 - BALLINA,573043,672876,3124
127079 - GLENSTAL,575751,658009,1140
127097 - KILMURRY,570714,645664,909
127111 - MONAGAY,525239,628824,1221
127112 - MOUNTCOLLINS,517772,619789,486
127122 - RATHKEALE RURAL,536795,641955,316
127123 - RATHKEALE URBAN,536369,641560,1371
127126 - RIDDLESTOWN,532689,643176,586
217016 - BALLYGIBBON,593425,683216,616
217020 - BALLYMACKEY,595758,679891,547
127106 - LIMERICK SOUTH RURAL,559162,654712,1786
127120 - PATRICKSWELL,552042,650244,1451
127130 - ROXBOROUGH,557805,650739,1495
127113 - MOUNTPLUMMER,530388,621540,327
127115 - NEWCASTLE RURAL,527917,633522,2264
127116 - NEWCASTLE URBAN,528099,633722,5104
127131 - SHANAGOLDEN,524790,651140,927
127132 - SHANID,524420,646447,532
127028 - BILBOA,583363,654673,409
217022 - BALLYNACLOGH,589001,673643,677
217027 - BIRDHILL,571774,668552,733
217036 - BURGESBEG,578623,673998,430
127006 - ANGLESBOROUGH,581365,621702,339
127020 - BALLYLANDERS,576981,624480,628
127121 - PORT,511458,629678,504
127125 - RATHRONAN,514761,633492,864
127058 - DOON SOUTH,581963,650267,1268
127082 - GREAN,576316,645256,1506
217177 - NENAGH EAST URBAN,587222,679185,3175
217044 - CARRIGATOGHER,582820,675149,702
217047 - CASTLETOWN,575261,681640,1470
217065 - DERRYCASTLE,572296,676669,428
217029 - BORRISNOE,605354,679051,119
127055 - CULLANE,577097,620697,374
127067 - DUNTRYLEAGUE,576679,629276,333
127072 - GALBALLY,579770,627595,563
127129 - ROOSKAGH,521891,635873,281
127134 - TEMPLEGLENTAN,519332,628236,974
127009 - ASKEATON EAST,535476,650759,622
127117 - OOLA,582295,644470,1082
127133 - TEMPLEBREDON,577687,641160,547
217136 - NENAGH WEST URBAN,585813,679307,5481
217067 - DOLLA,589702,666820,224
217117 - LACKAGH,580262,669208,395
127086 - KILBEHENY,586859,620137,237
127093 - KILGLASS,581326,617209,302
127104 - KNOCKNASCROW,584830,618561,194
127010 - ASKEATON WEST,532265,650848,1186
127012 - AUGHINISH,528718,653356,238
127016 - BALLYALLINAN,536552,637810,428
217156 - TEMPLEMORE,611362,671367,1946
217162 - THURLES URBAN,612843,658749,6814
217003 - AGLISHCLOGHANE,593395,699652,267
217011 - BALLINGARRY,598463,695942,503
217092 - KILCOMENTY,571338,664962,693
217097 - KILKEARY,592617,676062,660
127127 - RIVERSDALE,583385,626041,252
127001 - ABBEYFEALE,511184,624739,2542
127023 - BALLYNACARRIGA,544698,655932,861
127043 - CASTLETOWN,538133,656062,480
127050 - CRAGGS,528051,649249,258
217019 - BALLYLUSKY,591683,687352,337
217030 - BORRISOKANE,590420,694481,1254
217043 - CARRIG,603021,701957,177
217050 - CLOGHJORDAN,598260,689233,1055
217104 - KILLOSCULLY,577171,666559,457
217105 - KILMORE,585415,670517,688
127007 - ARDAGH,526755,638180,981
127014 - BALLINTOBER,529150,626054,361
67173 - MILLTOWN,539155,764997,664
67175 - MONIVEA,553688,736688,657
67180 - MOYNE,554636,745876,670
117050 - GUBACREENY,585568,856247,736
117058 - KINLOUGH,581560,853642,983
117075 - St. PATRICK'S,593538,820214,125
117004 - AGHAVAS,617793,802427,322
117011 - BEIHY,612340,787791,332
157015 - BALLINA RURAL,522216,819840,2985
157030 - BALLYSAKEERY,522626,825638,613
157047 - CARROWMORE,520778,814370,909
67195 - RYEHILL,551038,738692,782
157066 - CROSSMOLINA SOUTH,514577,813953,824
157070 - DEEL,507952,816955,481
157071 - DERRY,502340,815714,175
117077 - TULLAGHAN,576550,855180,699
157091 - KILFIAN EAST,513013,827882,240
157092 - KILFIAN SOUTH,505263,823839,250
117013 - BREANDRUM,607452,802252,253
157094 - KILGARVAN,534812,819483,747
157097 - KILLALA,517638,830562,1256
157112 - LACKAN NORTH,515012,839037,305
157065 - CROSSMOLINA NORTH,510803,819962,1061
157135 - SALLYMOUNT,531775,814958,480
157141 - SRAHEEN,524105,805353,1145
157019 - BALLINCHALLA,504698,765073,220
157057 - CONG,515347,756758,864
157078 - FORTLAND,516275,822299,564
157086 - HOUNDSWOOD,520072,754099,646
157093 - KILFIAN WEST,504743,830036,109
157134 - ROSLEE,523142,778849,432
157113 - LACKAN SOUTH,518588,834465,428
157114 - LETTERBRICK,506332,808646,125
157021 - BALLINROBE,517246,765356,3770
157029 - BALLYOVEY,507830,772642,206
157090 - KILCOMMON,530095,763307,663
157101 - KILMAINE,524956,760948,960
157137 - SHRULE,523015,750942,1159
157008 - AN GEATA MOR THUAIDH,467089,834239,939
157007 - AN GEATA MOR THEAS,462762,823478,980
157120 - MOUNT FALCON,522148,809767,1259
157133 - RATHOMA,517447,825615,217
157032 - BARROOSKY,493690,833421,100
157036 - BELMULLET,472163,835202,1954
157080 - GLENAMOY,487828,831160,215
157043 - BURRISCARRA,519724,775117,423
157045 - CAPPAGHDUFF,507400,768537,372
157059 - COONARD,529594,769454,272
157124 - NEALE,516299,760430,786
157125 - NEWBROOK,522667,772639,521
157031 - BANGOR,485334,821302,467
157081 - GLENCASTLE,475966,826793,493
157136 - SHESKIN,492959,820740,91
157084 - GOOLAMORE,481020,822867,135
157110 - KNOCKADAFF,483236,842030,337
157069 - DALGAN,528334,756371,1117
157085 - HOLLYMOUNT,524335,767557,799
157128 - OWENBRIN,502961,761302,200
157131 - PORTROYAL,514542,771362,561
157111 - KNOCKNALOWER,481880,834370,757
157121 - MUINGNABO,489963,839753,241
157122 - MUINGS,480287,829057,221
157132 - RATHHILL,474186,818839,712
157002 - ADDERGOOLE,515011,807641,837
157014 - BALLA,526411,785281,1556
67020 - BALLINDUFF,530608,743012,738
67031 - BALLYNAPARK,546899,743600,1080
67034 - BEAGHMORE,533307,752948,366
67209 - TOBERADOSH,554554,765982,363
67211 - TUAM RURAL,543772,751812,6060
67212 - TUAM URBAN,543564,751952,3511
117008 - BALLAGHAMEEHAN,593077,846119,195
117012 - BELHAVEL,587241,829792,239
117014 - BUNNYBEG,603912,800576,153
117016 - CARRIGALLEN EAST,625313,802457,300
67035 - BELCLARE,538385,753774,753
67049 - CARROWNAGUR,554164,761143,441
117009 - BALLINAMORE,611549,811427,1107
117024 - CLOVERHILL,614396,815716,345
117021 - CLOONCLARE,598873,835747,178
117023 - CLOONLOGHER,586658,834190,285
117017 - CARRIGALLEN WEST,621224,803070,563
117018 - CASHEL,608332,790612,170
117019 - CASTLEFORE,606770,809762,260
117020 - CATTAN,615426,793260,237
67050 - CARROWREVAGH,548426,755853,438
67056 - CLARETUAM,539074,748331,1059
67060 - CLONBERN,553479,756359,363
117025 - CORRALA,619873,806748,246
117032 - DRUMREILLY NORTH,617085,809072,158
117033 - DRUMREILLY SOUTH,614567,807293,146
117027 - DRUMAHAIRE,581513,831022,1524
117029 - DRUMKEERAN,590631,824709,465
117022 - CLOONE,615603,798861,336
117026 - CORRIGA,619295,797743,142
117028 - DRUMARD,607610,793413,206
117037 - DRUMDOO,605461,797583,303
67067 - CLOONKEEN,558382,755090,461
67075 - CUMMER,540963,744651,1151
67085 - DONAGHPATRICK,529577,751497,543
117039 - GARADICE,616659,812490,530
117049 - GREAGHGLASS,606851,816057,332
117055 - KILLYGAR,624496,806419,126
117040 - GARVAGH,586130,823584,180
117041 - GLENADE,582792,844835,172
117030 - DRUMOD,603655,792259,869
117038 - FENAGH,610517,808000,392
117046 - GORTERMONE,622623,799958,270
67086 - DOONBALLY,545157,760832,618
67092 - DUNMORE NORTH,549786,765841,568
117068 - NEWTOWNGORE,620948,810001,242
117069 - OUGHTERAGH,610443,815498,91
117001 - AGHACASHEL,603700,814512,77
117006 - ANNADUFF,601686,796650,225
117042 - GLENANIFF,587559,847390,167
117043 - GLENBOY,593031,836305,239
117051 - KEELDRA,615076,795918,179
117060 - LISGILLOCK,614631,804375,186
117066 - MOHILL,609066,797518,1258
67093 - DUNMORE SOUTH,549471,762230,837
67096 - FOXHALL,536412,760030,629
117010 - BARNAMEENAGH,599025,815647,147
117015 - CARRICK-on-SHANNON,595749,799358,4080
117031 - DRUMREILLY EAST,602137,820973,167
117044 - GLENCAR,577709,843270,256
117045 - GLENFARN,600481,839807,132
117053 - KILLANUMMERY,580471,826317,374
117070 - RINN,611753,792576,370
117071 - RIVERSTOWN,612065,801370,240
117072 - ROOSKY,607224,787995,616
67106 - HEADFORD,527157,747354,1531
67107 - HILLSBROOK,552936,749506,685
67114 - KILBENNAN,539990,759457,349
117035 - DRUMSHANBO,596906,810391,1389
117036 - DRUMSNA,600632,800964,685
117047 - GORTNAGULLION,603719,805552,292
117054 - KILLARGA,593191,831250,69
117057 - KILTYCLOGHER,596144,842886,207
117073 - ROWAN,608484,805325,247
157154 - ARDNAREE SOUTH URBAN,525101,818657,2420
157016 - BALLINA URBAN,524096,818950,4144
157049 - CASTLEBAR URBAN,514596,790213,6163
157153 - WESTPORT URBAN,499618,784292,5847
157022 - BALLYCASTLE,509380,836803,615
67119 - KILCOONA,532039,747638,649
67126 - KILLEANY,527420,742967,613
67128 - KILLEEN,544003,757311,707
117048 - GOWEL,597932,803066,325
117052 - KESHCARRIGAN,601374,807457,489
117056 - KILTUBBRID,603837,810703,153
117061 - LURGANBOY,584862,839038,415
157009 - ARDAGH,516895,819142,359
