,long,lat,population,commuters
1736,53.37687621,-6.35101131,5329,3339
1737,53.29611493,-6.2696825,1476,915
1738,53.299425600000006,-6.26661022,1411,912
1739,53.28990314,-6.26632423,3165,1872
1740,53.30176934,-6.26061529,1943,1094
1741,53.29759772,-6.25020614,1481,898
1742,53.3146542,-6.36386718,2047,1145
1743,53.33542547,-6.41691353,2581,1194
1744,53.32427105,-6.42796843,11323,6052
1745,53.32234582,-6.371449500000001,11316,6545
1746,53.33821979,-6.38911976,6376,3363
1747,53.34165721,-6.40306495,4096,1865
1748,53.31252652,-6.42461059,9152,5320
1749,53.51845136,-6.3342432,837,501
1750,53.30942619,-6.24203548,2049,1425
1751,53.30699838,-6.22379477,3122,1557
1752,53.30591626,-6.24983071,1615,888
1753,53.29765453,-6.22661125,2699,1703
1754,53.30049283,-6.2398611,2736,1705
1755,53.27045081,-6.10322874,1617,719
1756,53.27403972,-6.11472601,2118,1247
1757,53.27082581,-6.12772315,1357,760
1758,53.28153317,-6.10927086,1756,932
1759,53.27671505,-6.0990535999999995,1341,713
1760,53.48094784,-6.10403061,9399,6252
1761,53.42626278,-6.30339992,7372,4517
1762,53.2945851,-6.13108131,2489,1400
1763,53.28432664,-6.12899929,2807,1552
1764,53.28409559,-6.13901214,1929,1190
1765,53.28397004,-6.15365704,2225,1321
1766,53.28648581,-6.15148287,1779,930
1767,53.27577339,-6.13234774,2860,1584
1768,53.27143147,-6.14168892,1441,756
1769,53.27975309999999,-6.14703702,2886,1647
1770,53.29635372,-6.14230233,1729,1110
1771,53.28278344,-6.11779077,3690,2148
1772,53.29380395,-6.13870874,2690,1556
1773,53.27539164,-6.21856898,8035,5045
1774,53.28822566,-6.2343011,3274,2197
1775,53.27542499,-6.23812384,7688,4988
1776,53.29135929,-6.25048229,2165,1334
1777,53.29518017,-6.23788897,2491,1489
1778,53.27127214,-6.29344151,5757,3569
1779,53.277986399999996,-6.34075365,12214,8114
1780,53.27297556,-6.31637482,8230,5982
1781,53.2879752,-6.32131368,3505,2029
1782,53.27234311,-6.16581804,1680,1007
1783,53.26335559,-6.16721614,5951,3738
1784,53.27880635,-6.17441978,2448,1443
1785,53.27257754,-6.18274511,1445,878
1786,53.55378859,-6.37985757,1628,944
1787,53.2381967,-6.22089532,19773,13385
1788,53.5758353,-6.27602063,1397,927
1789,53.56049106,-6.14663067,3458,2038
1790,53.38451078,-6.08234219,8294,4602
1791,53.26156554,-6.12153235,3330,1969
1792,53.24755254,-6.12455588,6386,3870
1793,53.47263103,-6.31112986,2263,1227
1794,53.43411348,-6.19010454,9621,6219
1795,53.34497436,-6.42946377,32236,22175
1796,53.35626197,-6.4269111,5196,2959
1797,53.37052766,-6.43708112,1436,1008
1798,53.34476421,-6.47257382,10658,6689
1799,53.53203697,-6.18480711,9623,6328
1800,53.44559395,-6.13951297,7429,4535
1801,53.44842173,-6.17095554,6149,3804
1802,53.29893174,-6.48363412,4257,2450
1803,53.34932029,-6.36979128,3625,1973
1804,53.35415081,-6.38374773,7521,3893
1805,53.43368758,-6.13051036,4109,2165
1806,53.417312,-6.13375709,3621,2114
