S,I,X,R,D
1.65026e+06,9.42222e-09,1.08908e-06,4.78839e+06,134075
1.65026e+06,8.38682e-09,9.78062e-07,4.78839e+06,134075
1.65026e+06,7.46519e-09,8.78356e-07,4.78839e+06,134075
1.65026e+06,6.64484e-09,7.88807e-07,4.78839e+06,134075
1.65026e+06,5.91464e-09,7.08382e-07,4.78839e+06,134075
1.65026e+06,5.26468e-09,6.36152e-07,4.78839e+06,134075
1.65026e+06,4.68614e-09,5.71282e-07,4.78839e+06,134075
1.65026e+06,4.17118e-09,5.13023e-07,4.78839e+06,134075
1.65026e+06,3.71281e-09,4.60701e-07,4.78839e+06,134075
1.65026e+06,3.30481e-09,4.13712e-07,4.78839e+06,134075
1.65026e+06,2.94164e-09,3.71513e-07,4.78839e+06,134075
1.65026e+06,2.61839e-09,3.33616e-07,4.78839e+06,134075
1.65026e+06,2.33065e-09,2.99582e-07,4.78839e+06,134075
1.65026e+06,2.07454e-09,2.69018e-07,4.78839e+06,134075
1.65026e+06,1.84657e-09,2.4157e-07,4.78839e+06,134075
1.65026e+06,1.64365e-09,2.16922e-07,4.78839e+06,134075
1.65026e+06,1.46303e-09,1.94786e-07,4.78839e+06,134075
1.65026e+06,1.30226e-09,1.74909e-07,4.78839e+06,134075
1.65026e+06,1.15915e-09,1.57058e-07,4.78839e+06,134075
1.65026e+06,1.03177e-09,1.41029e-07,4.78839e+06,134075
1.65026e+06,9.18391e-10,1.26634e-07,4.78839e+06,134075
1.65026e+06,8.1747e-10,1.13708e-07,4.78839e+06,134075
1.65026e+06,7.27638e-10,1.02101e-07,4.78839e+06,134075
1.65026e+06,6.47678e-10,9.16773e-08,4.78839e+06,134075
1.65026e+06,5.76505e-10,8.23177e-08,4.78839e+06,134075
1.65026e+06,5.13153e-10,7.39131e-08,4.78839e+06,134075
1.65026e+06,4.56763e-10,6.63661e-08,4.78839e+06,134075
1.65026e+06,4.06569e-10,5.95894e-08,4.78839e+06,134075
1.65026e+06,3.61892e-10,5.35042e-08,4.78839e+06,134075
1.65026e+06,3.22124e-10,4.80402e-08,4.78839e+06,134075
1.65026e+06,2.86726e-10,4.31339e-08,4.78839e+06,134075
1.65026e+06,2.55217e-10,3.87284e-08,4.78839e+06,134075
1.65026e+06,2.27172e-10,3.47726e-08,4.78839e+06,134075
1.65026e+06,2.02208e-10,3.12207e-08,4.78839e+06,134075
1.65026e+06,1.79987e-10,2.80314e-08,4.78839e+06,134075
1.65026e+06,1.60209e-10,2.51678e-08,4.78839e+06,134075
1.65026e+06,1.42603e-10,2.25966e-08,4.78839e+06,134075
1.65026e+06,1.26933e-10,2.02879e-08,4.78839e+06,134075
1.65026e+06,1.12984e-10,1.8215e-08,4.78839e+06,134075
1.65026e+06,1.00569e-10,1.63538e-08,4.78839e+06,134075
1.65026e+06,8.95171e-11,1.46827e-08,4.78839e+06,134075
1.65026e+06,7.96801e-11,1.31823e-08,4.78839e+06,134075
1.65026e+06,7.09242e-11,1.18351e-08,4.78839e+06,134075
1.65026e+06,6.31303e-11,1.06255e-08,4.78839e+06,134075
1.65026e+06,5.6193e-11,9.53955e-09,4.78839e+06,134075
1.65026e+06,5.0018e-11,8.5645e-09,4.78839e+06,134075
1.65026e+06,4.45216e-11,7.68907e-09,4.78839e+06,134075
1.65026e+06,3.96291e-11,6.90309e-09,4.78839e+06,134075
1.65026e+06,3.52743e-11,6.19741e-09,4.78839e+06,134075
