From LGD,From LGD Code,To LGD,To LGD Code,No of Commuters
95GG - BELFAST,95GG,95UU - MOYLE,95UU,15
95GG - BELFAST,95GG,95VV - NEWRY & MOURNE,95VV,258
95GG - BELFAST,95GG,95WW - NEWTOWNABBEY,95WW,4506
95GG - BELFAST,95GG,95XX - NORTH DOWN,95XX,1578
95GG - BELFAST,95GG,95YY - OMAGH,95YY,64
95GG - BELFAST,95GG,95ZZ - STRABANE,95ZZ,7
95GG - BELFAST,95GG,Mainly work at or from home,95GG,9626
95GG - BELFAST,95GG,Offshore installation,95GG,116
95GG - BELFAST,95GG,No fixed place,95GG,12070
95GG - BELFAST,95GG,Outside UK,95GG,343
95HH - CARRICKFERGUS,95HH,95AA - ANTRIM,95AA,491
95HH - CARRICKFERGUS,95HH,95BB - ARDS,95BB,47
95HH - CARRICKFERGUS,95HH,95CC - ARMAGH,95CC,20
95HH - CARRICKFERGUS,95HH,95DD - BALLYMENA,95DD,182
95HH - CARRICKFERGUS,95HH,95EE - BALLYMONEY,95EE,8
95HH - CARRICKFERGUS,95HH,95FF - BANBRIDGE,95FF,25
95HH - CARRICKFERGUS,95HH,95GG - BELFAST,95GG,5325
95HH - CARRICKFERGUS,95HH,95HH - CARRICKFERGUS,95HH,4305
95HH - CARRICKFERGUS,95HH,95II - CASTLEREAGH,95II,326
95HH - CARRICKFERGUS,95HH,95JJ - COLERAINE,95JJ,23
95HH - CARRICKFERGUS,95HH,95KK - COOKSTOWN,95KK,6
95HH - CARRICKFERGUS,95HH,95LL - CRAIGAVON,95LL,97
95HH - CARRICKFERGUS,95HH,95MM - DERRY,95MM,17
95HH - CARRICKFERGUS,95HH,95NN - DOWN,95NN,33
95HH - CARRICKFERGUS,95HH,95OO - DUNGANNON,95OO,14
95HH - CARRICKFERGUS,95HH,95PP - FERMANAGH,95PP,3
95HH - CARRICKFERGUS,95HH,95QQ - LARNE,95QQ,754
95HH - CARRICKFERGUS,95HH,95RR - LIMAVADY,95RR,4
95HH - CARRICKFERGUS,95HH,95SS - LISBURN,95SS,252
95HH - CARRICKFERGUS,95HH,95TT - MAGHERAFELT,95TT,11
